name,index,coin_toss,normal,zipf,uniform,twin_peak,geometric,exponential,lognormal,zero
Xuzexureu,94,1,9730.736685581374,1,2385,943.55503858875602,1,2,51.30795793344971,0
Havaaekicaqeg,95,0,11423.448126618448,1,5959,4131.2094469469312,2,8,106.01035741131496,0
Mesan,96,1,9909.217746871811,1,2314,4001.5216497217548,2,0,46.04297086265238,0
Ealaaaz,97,1,9559.64988378209,5,1561,4051.6285439060794,1,157,19.584221575411426,0
Kotilejaaui,98,0,10451.655128907356,2,5767,922.46725065033445,5,11,5.640758787409585,0
Hanacueacubifee,99,1,11447.984234145664,1,1756,3852.6008068175865,6,116,7.450552166681728,0
Sipecaeonal,100,1,7991.78363257539,1,7023,4171.3926327149375,5,57,42.257171286087456,0
Bebagaaatin,101,0,9806.360530081922,1,373,1255.3649231652478,1,411,50.292507940715545,0
Fayeheyeaiouq,102,0,8385.424989218245,1,6312,4256.1793047413857,4,3,28.05134540989444,0
Kibucea,103,0,10217.608559366763,6,5478,4015.355523953484,13,80,9.795577096799148,0
Yabosegihur,104,0,10071.896036306009,2,9354,3828.2395096145974,2,4,15.13405815578181,0
Buxuuifub,105,1,9812.188281756646,1,5840,4073.2031704466463,2,55,14.633153525078091,0
Vojauaiae,106,0,9327.741927283618,1,6728,1242.9016288814119,1,20,13.787955000945665,0
Nituvit,107,0,9210.428123653148,1,2825,4077.3058355000726,3,40,6.913272219973054,0
Uunag,108,0,8936.411080679514,1,4637,3632.9893718228745,3,51,34.84894397577371,0
Qorapap,109,0,7780.315684357658,2,2731,4047.7911926066618,3,160,7.1054169960983495,0
Yuyeaoyuteu,110,0,10295.498096989451,2,7393,1232.592509032668,1,108,27.14349423462238,0
Tovaf,111,0,9856.685949253508,1,2384,3984.9532119035189,4,17,7.226249313949872,0
Bikaoikemixiouc,112,1,10074.503797091973,3,7840,993.74261365338509,1,34,18.96516024912409,0
Karewadijeeiq,113,0,8728.919957524533,2,7028,1222.584728046482,1,114,53.303176304961106,0
Iesiaerouoq,114,0,10397.910856874494,17,159,558.330314176706,2,199,6.383652715430106,0
Gezezaeaeiy,115,0,11511.445277291516,1,7844,887.10460409908751,3,19,105.71588988062524,0
Vasufilecupuv,116,0,9239.49224914486,2,1261,1093.8974558126606,2,11,6.930975036111253,0
Aaiigeyuxolepak,117,0,10075.67578580472,1,5781,847.23248462026027,2,7,15.065534788185913,0
Yui,118,1,7551.67251830018,1,5239,3548.9816390563874,4,1,61.64885219810201,0
Dayicaduh,119,1,8800.352309885651,1,7705,3888.1334270911098,2,6,8.563612132627467,0
Sexur,120,0,10278.453648612112,1,2070,1279.6791477384027,2,82,54.04053566397542,0
Doeudoiaiek,121,0,8849.814994561291,1,28,711.00022320737605,5,59,37.05139340189259,0
Rodaqod,122,0,12222.365422324052,1,5789,3809.1918165352199,1,33,36.224096576934386,0
Hauikiror,123,1,11678.899194125035,1,9888,1075.1325577362961,3,226,8.890897181788848,0
Dabup,124,1,10786.359492404923,1,7017,977.38560417452913,2,281,26.315415612769563,0
Vujifaleuuvesai,125,0,9342.722519333205,1,4542,4091.6915361771153,1,10,28.70245594752228,0
Zekutahugogej,126,0,6866.573378842191,11,198,3606.581715342606,1,58,12.516757602248877,0
Birumekerukum,127,0,7853.27992060943,4,6069,837.88847636977926,1,189,121.8379397448448,0
Iiqepat,128,1,10493.764004117054,1,1038,869.25466044097345,1,18,15.24962603722058,0
Ouzirelamig,129,0,11097.441265419033,1,8792,3978.3909852279207,2,19,15.114917059477593,0
Jen,130,1,10029.721132482799,5,2798,3967.7243278628503,6,108,43.66633769736805,0
Lediwuwiniour,131,0,10019.68727981482,1,6016,759.22442156039904,1,300,14.537992217292896,0
Qipiaubewacivuv,132,1,8761.376594965044,1,3185,1016.4324003480124,1,71,84.61224352716079,0
Komoxecozopozuk,133,0,10101.07950032867,1,7640,1255.566436336494,4,251,21.942159053939633,0
Recohieutol,134,1,8604.026455954952,7,4279,4176.1752505597697,3,83,25.433903513273407,0
Qux,135,1,9230.828202982762,2,6285,3944.7461476977305,1,16,7.064084326833715,0
Hip,136,1,10293.007194241702,4,578,3885.0758137853545,1,63,48.02540995686988,0
Oeleroo,137,0,10600.767013744426,1,5686,812.6645095763779,2,12,25.44934255246883,0
Xubugoyah,138,1,9787.49522605733,1,1010,4031.5776139260292,5,5,10.096953848452683,0
Tepubaeojogufod,139,0,8610.124674154982,1,382,1119.7847416979573,1,17,22.662328594633248,0
Mavotofaaec,140,0,10569.58892780003,1,5204,3958.388554538154,4,50,10.169434744710157,0
Ievonaditid,141,0,10245.203161082138,2,3430,3838.5352590671459,7,143,19.95114121781202,0
Yoiow,142,0,9303.258309277096,1,3118,4115.8024814144428,5,179,7.412426257914472,0
Eooeuucejujed,143,1,8641.378846917265,35,8246,4073.5882714849135,3,69,4.952532039012119,0
Vohidid,144,0,10575.363590675624,1,3223,1096.7274588742982,4,47,23.150657437959616,0
Raiozeloauqikoa,145,1,11137.474787318402,2,7411,960.03706402992543,2,31,40.290180447395514,0
Biw,146,0,10442.956287319914,2,4597,1281.296798005284,2,164,37.493403309444865,0
Puhitumuj,147,0,10038.161667766532,1,8124,1259.8818752789289,4,6,38.5948710554005,0
Kopae,148,0,9628.256657419532,9,4122,3803.4864353276289,1,366,16.276001208171987,0
Reqopojebayia,149,1,9590.258201325625,1,8244,800.00794539265542,1,163,26.254287638232444,0
Iieig,150,0,9725.124748266013,2,3086,3826.0570592268182,4,67,8.111576351308283,0
Guvijilioom,151,0,12060.508554306925,1,663,643.22887170769673,4,61,54.92948777958868,0
Mey,152,0,8987.9680989413,1,9931,3888.2790636188374,2,207,8.33639733424296,0
Medioaiedowaraq,153,1,11258.930901724369,1,5058,4082.6376197181744,2,153,49.56003730611004,0
Jifuxotau,154,0,9301.817271791135,1,8134,4234.6741209151214,3,151,12.794980555532533,0
Euhinedaa,155,1,9877.14389079707,1,2078,4528.4261294344742,1,88,81.56792501275135,0
Aowuz,156,1,9345.470789411784,1,8012,823.42413901656289,2,30,12.94652110675711,0
Uovisiruoexiiis,157,1,9743.974448108505,1,5101,820.62229139500926,2,250,10.976747149230336,0
Eepoqev,158,1,10446.99659699197,1,3541,3812.2353502648502,2,13,9.150921968559537,0
Cieauiluzemarij,159,0,12949.140499031357,1,701,4047.1197459344303,2,75,5.294829415007747,0
Jurocoxejaqad,160,1,9758.953257517955,1,1658,1070.1453923228548,5,92,4.422512241502455,0
Uusac,161,1,10272.006010468393,17,9930,651.70881050754315,1,54,71.269554434095,0
Pohituzahaziu,162,1,9470.182544252966,1,7949,4050.8887659745978,3,590,25.029073933755246,0
Qiuomijauaa,163,0,12373.623043394999,5,2130,973.40040320808362,5,67,23.390560272301467,0
Komoyobal,164,0,9729.896006335943,2,2201,1017.5759755795954,7,26,31.900504284943235,0
Waiaiih,165,0,8939.807376288703,4,1648,977.67331046320965,1,447,7.732410853097294,0
Cuboaodotae,166,1,9343.556242348855,1,5009,910.42560293016913,2,143,27.5679471882876,0
Eaaurenoc,167,1,9798.180316543869,1,9145,910.31015550754034,5,75,19.98120703146146,0
Camasuxaiij,168,0,8593.47959287153,1,3353,808.12823286053015,1,144,21.87008505395507,0
Bigobatokud,169,0,10346.584618620924,3,1072,4050.4652873969189,4,104,16.89549286936914,0
Fop,170,0,9910.763318639805,1,274,1027.419481081191,8,775,26.389738702219564,0
Cuxeeeuiiubor,171,1,10456.51275191205,1,6068,3887.1493435125267,1,11,13.395027067339761,0
Nacakojidoeumed,172,0,11513.257223875291,2,8050,4050.0958828234843,4,42,114.3103493472876,0
Falomoyik,173,0,9501.237979208678,2,6279,3639.0682130725518,5,149,37.18998326391611,0
Yododeaodaa,174,1,7513.171071168914,2,3758,3569.0814892372541,1,13,30.558965916228054,0
Jue,175,1,11640.507710238493,2,918,1243.3850684735785,9,127,10.55365670266888,0
Iaceaoyoi,176,0,9533.438795826252,1,7439,4064.7159748248891,1,121,17.7643728068323,0
Bayeneeumuqacom,177,1,9357.179232948594,2,244,4266.776148461794,1,189,6.590451587830413,0
Suo,178,0,11236.8414389566,1,5368,688.57678179602703,1,57,15.111310141884886,0
Qiraqucumis,179,0,8713.575683617999,1,3809,4281.3623759532784,3,63,26.45804779131905,0
Xacaeunihaj,180,1,10236.310743010983,4,1882,769.62221868185179,1,148,17.863199639475184,0
Lor,181,1,10132.90201094829,2,4018,1186.8797418907573,2,114,16.685879849590215,0
Hexur,182,1,10139.26607707895,1,6795,1084.8970075805289,2,204,15.02148227738555,0
Pipezutiionor,183,1,9337.823822484303,2,8463,4180.1063822123124,1,2,12.855016469489467,0
Eoiezijooazaiux,184,1,12445.18422748316,1,4879,4237.7906455573875,1,93,2.4152241558214427,0
Dozisai,185,1,10523.650724971272,10,2075,4027.0249996090233,7,40,8.588909564861549,0
Wocebihooer,186,0,11153.99851493999,1,4935,4217.2258241967356,1,48,7.10032934843929,0
Iaxidaper,187,0,10314.76428019253,3,5115,1202.1715511777661,3,24,93.87480217116695,0
Diioo,188,1,10038.495558134024,1,9371,4107.6803823934124,7,179,6.711745958648309,0
Tueat,189,1,10318.599081449662,1,741,4192.1741498589026,6,274,8.161577595486959,0
Xumalij,190,0,9878.466709300968,1,3156,4276.7940689466268,2,92,8.27968420772924,0
Iuloz,191,0,9404.422763903214,1,2363,3846.2687523142372,1,409,31.34395858517261,0
Oigexouebix,192,1,11115.012535321268,1,7460,1177.3302612918847,4,33,21.955190261908697,0
Aeooxuyot,193,1,9023.768426037746,3,5210,1154.4951700761642,2,28,6.260199893646511,0
Aotameeix,194,1,9439.7167777507,2,5635,715.14690948864427,2,93,110.74000811909427,0
Oap,195,0,9728.99711490508,3,1588,3974.2792132285863,1,104,12.811927161050564,0
Gedekuw,196,0,9576.293961209798,2,6135,3777.0787344570804,4,187,31.57656560791334,0
Jovueefawow,197,0,10157.810076449723,3,2482,4091.2717663844669,1,8,29.181253003738618,0
Hofafofeuegigiv,198,1,10020.367082155131,1,3668,1085.6919849135988,1,95,252.16619746630624,0
Hixoranuq,199,0,10069.168945590025,1,2193,943.63070890827885,1,21,142.7082182873223,0
Lauabed,200,1,9824.16851323417,2,3899,1205.5668324629037,1,84,9.864312029785342,0
Keg,201,0,11136.769672946175,1,2995,709.6612374563947,4,276,15.797297820040777,0
Kakeg,202,0,9419.750164914109,1,6172,4219.6715361834613,14,18,3.9889576692090722,0
Hat,203,0,11578.526397309206,1,5909,3949.2273304343707,1,38,6.316606922432214,0
Qoqajefenek,204,1,9872.66491264839,1,4519,890.36931887687945,4,91,25.62542473704316,0
Puboz,205,1,10932.588824369876,1,8409,4118.6850112563461,1,157,37.33670131286087,0
Jir,206,1,10704.402491491855,4,9892,1098.0384498224053,1,120,7.323089706324695,0
Duw,207,1,9482.37407110358,1,3133,978.43490901137795,1,279,12.742101334865364,0
Caaedegik,208,1,9805.348572784253,5,2315,997.52573900234302,1,71,42.757530418912346,0
Sin,209,0,8872.822687220818,1,5499,989.89075063526411,3,222,38.45394371608569,0
Eiriaurouui,210,1,11633.459317599078,4,4361,1127.0678912907215,2,342,2.3997394426108385,0
Gaqap,211,1,11623.08031326143,1,1836,1200.4106333659331,1,172,8.589965334688586,0
Kioarecocevelaa,212,0,8963.404378633477,1,1729,3962.073604383203,1,69,70.54440881415489,0
Baaot,213,1,10439.007983580517,1,1094,1050.4040742384866,1,12,8.337823387813257,0
Cow,214,0,8881.771147720303,1,6568,1143.9350690330691,1,6,10.848131944495684,0
Euqumipoz,215,0,9913.279558632777,1,5732,808.23100709629534,4,256,15.918215424064526,0
Toqieueezoy,216,0,11418.50595050864,1,971,944.00281190260341,3,38,61.41291611694853,0
Wiiep,217,1,9760.58164539144,1,8911,3836.6103161367914,2,180,16.8502130603247,0
Get,218,0,8778.791850049673,1,6920,610.3298432215613,6,123,105.4662185522217,0
Due,219,1,11552.077052690089,1,7764,3987.6077870236672,2,14,34.818392038568476,0
Naooiopivoqomot,220,1,10952.097287605791,1,4389,3811.7167797611082,1,172,29.65487343766225,0
Fouohai,221,0,8337.015478287778,4,1785,4178.1077166130044,1,120,14.898920819901765,0
Neoieefuf,222,1,11957.016930245089,7,8175,1085.5041341068772,3,160,8.712743267094067,0
Qobejaguzit,223,0,8860.082395958712,1,7547,961.28216208701178,3,24,1.9205939831969263,0
Kiaiw,224,0,10540.280624881447,1,6450,1276.3476866785036,4,209,81.75258232396529,0
Yivee,225,0,8966.896566114756,2,8894,4301.0083181219279,2,4,17.68090247971778,0
Eepub,226,1,8732.47053677123,3,4559,4188.706784787566,6,202,25.718667282165924,0
Xuhiwoauqufav,227,0,9412.720262391556,1,1026,1073.1027013592034,2,181,37.045856228035966,0
Sojeyoqeaarau,228,1,9073.275517249389,6,4234,743.40098666647668,2,177,8.611541453899406,0
Bolewubewauor,229,0,10919.247388145468,1,554,1127.3536746745008,13,3,18.354545516190047,0
Bajex,230,0,10345.890602730002,1,8476,1195.3238354144744,4,53,7.3232466070500575,0
Lexotinad,231,0,10344.0971113397,1,6410,4039.9802793236304,3,38,5.0340865844310825,0
Jerigorujua,232,1,9999.598965240175,1,7576,779.06081320404519,1,151,9.090677026544725,0
Yisopekeeoeidif,233,0,9447.30434410001,1,1449,4101.2202330325999,3,96,41.47271973633646,0
Deyajim,234,1,11414.345300255096,1,2414,4179.4161768983085,2,124,52.64473683782032,0
Jetut,235,1,9203.70374628757,1,1269,4112.6755269086152,1,117,44.32419477557291,0
Lupaqoyever,236,0,8524.440176159953,1,9717,823.14104843111397,5,71,36.42565514993022,0
Fagagoo,237,0,9310.021714948238,1,2044,1079.7543207437179,1,140,15.063636390844515,0
Hahamuuuk,238,1,8675.77370565214,30,8274,1265.6135087798939,6,327,22.529719462815855,0
Hukisioac,239,1,8545.337975169554,1,5020,1412.3729021574889,3,61,18.789826143189288,0
Biv,240,0,11502.29157070871,1,6938,3924.4107865753231,11,52,10.279839034665702,0
Toaopux,241,1,10070.648473120942,1,8588,1058.2481661192558,1,67,14.922026462659538,0
Zecuheuoreqof,242,1,10984.374828176287,1,5354,966.62019044267231,1,9,111.63774927367648,0
Dok,243,0,10480.433444412452,113,694,3759.3497212133907,3,3,10.593308021989186,0
Geqenigehob,244,1,10119.597618956206,3,7942,879.69755533776754,5,42,22.875629856983295,0
Wekasaj,245,1,11235.567408390587,7,4463,3887.4928741451135,2,110,28.772741126097774,0
Ianos,246,0,8992.127280289234,1,5739,3929.8883241347376,6,55,79.84655213561206,0
Eateb,247,0,10141.416955193363,1,3194,4147.8485679457353,3,19,15.30255822394392,0
Vefedojocexui,248,1,10865.696320666977,2,2768,985.28263237413967,2,16,126.727536516092,0
Bukahuhanoh,249,0,12253.999697193853,1,9043,983.58127156107071,2,42,16.777998767987196,0
Eit,250,1,12480.789562596026,12,8241,3971.9914531056352,4,31,6.867710699578164,0
Ueiaaimazio,251,1,10042.513637563245,1,5012,4280.0896403985471,7,79,25.42162164056468,0
Eieohaq,252,0,9948.21129742164,1,6235,3888.4434355338931,2,10,248.97479028034277,0
Novuaulek,253,1,8638.203875761807,9,6848,1306.9345708962733,2,131,8.771388185272862,0
Iim,254,1,10388.26612056277,2,6745,871.79883616854102,1,114,40.90876164563647,0
Cooueubor,255,1,9823.003116152928,1,5211,1089.7255106820796,2,162,8.075202696150793,0
Yak,256,0,7662.758571364381,1,8567,3747.538851463547,3,207,15.532970038164997,0
Doxag,257,1,8361.85879916725,2,9037,738.91305165010567,5,223,16.981205600550265,0
Vieaouseheu,258,0,10638.877028135852,5,3888,1047.3167855261149,5,287,153.7717525356315,0
Zohakoxivooozus,259,0,8565.811489342152,1,1379,791.10464208268957,3,61,64.07631277045249,0
Vesocifooitazek,260,1,12306.058353783572,1,5990,946.58510461079868,5,81,21.31349696203867,0
Uegaaerog,261,0,11180.400817858585,1,800,3751.0914889141754,2,131,7.000999111587613,0
Dus,262,0,10779.82123650592,1,9549,557.5513647756809,2,22,44.248185297056125,0
Tepikon,263,0,9732.387341013817,1,1779,4021.4675051084591,5,82,22.472358697285845,0
Satut,264,0,11505.041021189847,2,2232,812.0960475978618,4,2,11.684954208106605,0
Vasaceaolet,265,1,10964.559404696836,2,5827,4531.7866576149027,1,77,24.022745759164355,0
Suginiguy,266,1,11260.617838471404,1,4911,1052.3135167339901,1,91,12.754555100012137,0
Mivamuzig,267,0,9424.668014404942,4,5159,966.89116934136746,6,97,36.497500613221966,0
Tozofiduuezuk,268,1,8872.496185793501,1,9408,4456.6433660242919,5,26,127.68709413939497,0
Auq,269,0,9813.134181846563,1,8367,3965.9989541572691,1,156,17.22191435818749,0
Touubenoduxuw,270,0,9586.200652444806,3,6980,4261.6996401794149,1,88,8.798751891077156,0
Fonamau,271,0,9925.090221245262,10,4142,4181.060397352835,2,252,19.593443441157017,0
Eol,272,1,8143.163297870598,1,2760,4038.254097896714,1,1,14.34275630741205,0
Fet,273,1,9840.832950931906,1,5010,4383.9903013757694,2,51,33.809748906675175,0
Oez,274,1,10777.05175476827,2,7547,3670.7360735266566,6,221,3.4071398674870395,0
Qevut,275,0,8821.428047314483,1,6643,3970.2780015093631,2,19,17.693957977092417,0
Not,276,0,11623.417431859376,1,5899,989.62094833698234,2,99,34.63170419554432,0
Pasiqesupedaoos,277,1,8841.591547707007,1,6210,4245.1418385961397,3,14,3.826772759504522,0
Betak,278,0,9063.539231452565,3,1568,3994.1534905409844,1,190,16.928671271823863,0
Jigeyoligel,279,0,8669.345822668844,1,4987,4342.3190010745047,2,27,389.6979139195831,0
Vauij,280,0,8714.728254154092,1,3116,3904.2110465537598,1,25,14.013296358115785,0
Tipooayooariy,281,1,10116.631665330506,1,5445,804.83758840348537,1,70,23.231841791762324,0
Masumiuaoeeihek,282,1,8959.916958455848,2,4352,1170.0178677467995,2,19,4.348258786624551,0
Cavilogopiuek,283,0,10576.295638389418,1,1696,1064.8732148380318,1,241,18.118240744114804,0
Zafakoxemowolae,284,1,9958.053956099619,2,1298,929.18412580830989,1,227,134.53373594724016,0
Lipetebosamuc,285,1,10844.17290053193,1,987,1264.4782976773563,1,12,12.510539539609873,0
Iefopua,286,0,9220.093897499197,1,4630,895.48781610432877,2,188,27.876813051246476,0
Cuwikaquaan,287,1,10141.865633377653,1,4324,1081.5711116336868,1,368,17.198716185518943,0
Fat,288,0,10909.322867022109,5,3641,3754.6858510896959,4,80,12.21931022615947,0
Pogaauniq,289,1,9584.892568685254,2,8946,3877.4684168369499,7,16,20.667546179475302,0
Wiyuxoniyokif,290,0,10560.671917491756,2,4705,4074.7690956419265,5,150,112.82984937075469,0
Zub,291,1,10684.754787926657,1,952,717.06643385355244,2,1,3.7430914507338375,0
Guweaubazajap,292,1,10433.222504894118,1,5777,3596.7131038287021,2,189,27.8358100664309,0
Delohaliuoh,293,0,9056.76244388903,1,7186,797.93641083940179,1,1,31.141285353870664,0
